p,chisq,tf,keys,counts
0.1,499419936.848,428230,128157,11844488
0.1,516727119.552,427412,128877,11888527
0.1,481321780.164,429208,127390,11948609
0.1,494440187.073,429019,127820,11880165
0.1,481549741.364,430379,128629,11945374
0.1,517627558.435,429194,129271,11872710
0.1,500878983.55,429039,128200,11848674
0.1,498397812.805,428476,128303,11930048
0.1,497807007.288,429322,128112,11933707
0.1,503497579.454,428714,127577,11870027
0.1,481407941.71,429554,129034,12004908
0.1,487982746.821,428721,127101,11861608
0.1,500784450.82,428564,127992,11886211
0.1,506471511.261,429267,128319,11977911
0.1,510730675.945,429173,128448,11995368
0.1,498787280.38,429054,127577,11871562
0.1,500459531.308,428500,128162,11856906
0.1,485849697.932,427874,127681,11765230
0.1,488845404.266,428618,127511,11877506
0.1,488752431.984,429095,128878,11948465
0.01,52372918.4703,42907,32838,1181019
0.01,52968305.5712,43160,32858,1186326
0.01,49508721.2518,42790,32111,1187298
0.01,42768453.6011,43087,32860,1196866
0.01,49495025.1916,42419,32215,1158817
0.01,45163835.8691,42804,32464,1192555
0.01,54225613.6855,42807,32259,1186529
0.01,50787270.7956,43116,32039,1199887
0.01,48351677.3061,42699,32400,1179253
0.01,55835607.3955,42882,32199,1191028
0.01,51123495.4476,42870,32097,1178270
0.01,47526504.5151,42778,32153,1185474
0.01,55008203.5228,42673,32556,1195170
0.01,51366632.3971,43219,32688,1199776
0.01,52780794.9323,42676,32453,1181587
0.01,58825936.5328,42735,32662,1203334
0.01,55381267.7576,43209,32484,1198704
0.01,58373641.6882,42722,32445,1163085
0.01,53240250.0221,42867,32663,1178485
0.01,44416210.9722,42934,32343,1192083
0.001,5042532.15806,4297,9432,122479
0.001,6246329.6311,4309,9487,118858
0.001,5371730.7445,4197,9453,118629
0.001,4311654.64202,4346,9544,117033
0.001,4348198.3432,4373,9386,120628
0.001,5127450.64626,4350,9206,115122
0.001,5192104.69642,4357,9519,123299
0.001,7307739.97858,4269,9352,115672
0.001,6338698.67902,4329,9449,118985
0.001,4467385.43577,4168,9309,118795
0.001,6489773.2351,4279,9040,115052
0.001,3055991.13474,4272,9415,119945
0.001,6562817.36313,4366,9325,118828
0.001,4189352.97339,4280,9187,117756
0.001,4811643.75366,4281,9230,121100
0.001,6597033.31936,4304,9349,114480
0.001,4199589.46514,4268,9339,116852
0.001,5299261.58619,4202,9239,119025
0.001,6611635.79725,4277,9696,120079
0.001,4429415.53999,4318,9125,117067
0.0001,1199684.67021,434,2651,12588
0.0001,1660504.71203,429,2544,12134
0.0001,1623997.05774,438,2410,11321
0.0001,420177.622919,435,2409,11806
0.0001,838102.493719,440,2654,13856
0.0001,2354257.049,454,2645,12829
0.0001,980556.220852,456,2565,12302
0.0001,973017.912469,392,2262,11076
0.0001,413442.727109,414,2618,13034
0.0001,381837.189732,448,2464,11264
0.0001,1318576.8415,412,2674,13259
0.0001,978990.013488,449,2652,14221
0.0001,805525.638661,395,2253,9654
0.0001,762507.819787,436,2480,11220
0.0001,829831.875547,434,2556,12473
0.0001,557880.492428,406,2422,11977
0.0001,1365146.6795,449,2642,12708
0.0001,988773.153528,447,2558,13315
0.0001,646783.294187,411,2370,11313
0.0001,495469.227648,441,2708,13846
1e-05,236090.591956,43,523,1155
1e-05,844916.50874,47,617,1535
1e-05,392522.395433,46,458,1039
1e-05,692152.248872,51,542,1203
1e-05,360241.462696,53,529,1188
1e-05,233342.769323,33,607,1878
1e-05,207697.807708,51,641,1666
1e-05,304171.539603,37,447,996
1e-05,233341.051257,46,430,795
1e-05,1331621.8185,38,497,1130
1e-05,383961.555334,47,489,1007
1e-05,651074.346932,34,422,890
1e-05,378961.114347,34,421,870
1e-05,2045736.2278,47,632,1635
1e-05,320698.016092,40,644,1677
1e-05,176812.572575,44,512,1242
1e-05,476666.161924,45,539,1366
1e-05,576022.418676,44,469,1061
1e-05,650540.432229,44,416,826
1e-05,870059.571012,46,576,1289